host_total_listings_count;neighbourhood;neighbourhood_cleansed;neighbourhood_group_cleansed;city;state;zipcode;market;smart_location;country_code;country;latitude;longitude;property_type;accommodates;bathrooms;bedrooms;beds;price;weekly_price;monthly_price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;availability_30;availability_60;availability_90;availability_365;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;cancellation_policy;reviews_per_month;high_value_amenities;standard_value_amenities;basic_amenities;summary_length;description_length;days_since_first_review;days_since_last_review;room_type_private_room;room_type_shared_room;bed_type_couch;bed_type_futon;bed_type_pullout_sofa;bed_type_real_bed;square_meters
3.0;acacias;acacias;arganzuela;madrid;comunidad de madrid;28004;madrid;madrid spain;es;spain;40.39720357355896;-3.7057337603767895;condominium;2;1.0;1.0;1.0;3.4339872044851463;190.0;580.0;;;2;0;1;30;0;0;0;0;0;;;;;;;;flexible;;1;2;3;35;158;;;True;False;False;False;False;True;11.984487
1.0;la latina;palacio;centro;madrid;comunidad de madrid;28005;madrid;madrid spain;es;spain;40.41205530893753;-3.7081547039385714;apartment;4;1.0;0.0;2.0;3.7612001156935615;;;;;1;0;4;1125;0;0;0;0;18;99.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.01;1;2;3;62;180;3019.0;2770.0;False;False;False;False;False;True;40.041193
3.0;embajadores;embajadores;centro;madrid;comunidad de madrid;28005;madrid;madrid spain;es;spain;40.41308112933024;-3.70658792590881;apartment;3;1.0;1.0;1.0;5.017279836814924;700.0;1900.0;;;1;0;1;1125;0;0;0;0;0;;;;;;;;flexible;;0;1;2;40;40;;;False;False;False;False;False;True;44.965052
2.0;;valdezarza;moncloa  aravaca;madrid;comunidad de madrid;28039;madrid;madrid spain;es;spain;40.46555019732693;-3.718264559222371;apartment;1;1.0;1.0;1.0;3.044522437723423;;;;;1;0;2;1125;18;40;62;337;23;97.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;1.27;0;2;3;44;67;3296.0;2779.0;True;False;False;False;False;True;15.79351
5.0;;alcdia;;alcdia;pm;07400;mallorca island;alcdia spain;es;spain;39.84273321829857;3.128491832755074;apartment;4;1.0;1.0;3.0;4.394449154672439;;2800.0;100.0;65.0;4;20;5;90;13;43;73;305;31;93.0;10.0;9.0;10.0;10.0;10.0;10.0;strict;0.98;3;2;3;8;29;3727.0;2837.0;False;False;False;False;False;True;49.981814
3.0;la latina;embajadores;centro;madrid;comunidad de madrid;28012;madrid;madrid spain;es;spain;40.41166806959753;-3.705700275672179;loft;3;1.0;0.0;2.0;4.204692619390966;;;150.0;20.0;1;0;2;1125;17;47;77;352;1;80.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;0;4;2;85;167;2765.0;2765.0;False;False;False;False;False;True;30.007669
1.0;la latina;embajadores;centro;madrid;comunidad de madrid;28012;madrid;madrid spain;es;spain;40.41335153108237;-3.705236271266278;apartment;2;1.0;1.0;1.0;3.828641396489095;;;150.0;8.0;1;0;2;7;3;3;3;3;18;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;3.18;1;4;3;82;163;2921.0;2756.0;True;False;False;False;False;True;24.990907
11.0;argelles;argelles;moncloa  aravaca;madrid;comunidad de madrid;28008;madrid;madrid spain;es;spain;40.42292127632174;-3.714780775241489;apartment;6;1.0;2.0;3.0;4.0943445622221;490.0;1490.0;;15.0;2;10;3;1125;0;0;5;280;54;89.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;1.96;2;3;3;37;162;3579.0;2829.0;False;False;False;False;False;True;69.955959
2.0;centro;cortes;centro;madrid;comunidad de madrid;28014;madrid;madrid spain;es;spain;40.41186651661578;-3.696596552560989;apartment;2;1.0;1.0;1.0;3.49650756146648;;;;25.0;1;15;2;1125;14;39;69;344;0;;;;;;;;flexible;;0;0;2;38;174;;;True;False;False;False;False;True;24.990907
1.0;;opael;carabanchel;madrid;comunidad de madrid;28019;madrid;madrid spain;es;spain;40.393288397081385;-3.722851124615172;apartment;1;1.0;1.0;1.0;3.258096538021482;;;;;1;0;1;1125;29;59;89;364;0;;;;;;;;flexible;;0;1;2;63;183;;;True;False;False;False;False;True;15.79351
