host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,availability_365,square_meters,review_activity_duration,amenity_score,summary_content_score,description_content_score,property_type_weighted,room_type_encoded,bed_type_encoded,cancellation_policy_numeric,neighbourhood_group_cleansed_encoded,neighbourhood_cleansed_encoded,neighbourhood_encoded,city_encoded,state_encoded,zipcode_encoded,market_encoded,country_encoded,price_log,review_overall_score
2.0,40.41009315660919,-3.706216182145381,4,1.0,1,1,150.0,20.0,1,329,47.7056905,348.0,15,5,5,0.3333333333333333,1.0,0.4090312389650088,2,8,60.703778677462886,67.88117770767613,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,4.007333185232471,18.466666666666665
4.0,40.42934455374912,-3.7222856365139023,2,2.0,1,1,150.0,10.0,1,86,24.990907,1573.0,33,4,17,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,26,71.4,67.22140221402213,67.8210655120482,63.69439421338156,63.77536231884058,67.7640712945591,71.77488172810854,3.6635616461296463,27.052222222222223
1.0,40.40842743912922,-3.6986001332406646,4,1.0,1,2,130.0,25.0,2,242,47.7056905,472.0,32,5,14,0.3333333333333333,1.0,0.8520040280841519,2,8,60.703778677462886,59.554729011689695,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,4.174387269895637,20.364444444444445
2.0,40.420055264644446,-3.6763648418942254,3,1.0,1,3,150.0,20.0,1,0,44.965052,359.0,14,7,7,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,34,72.63636363636364,85.60204081632654,67.8210655120482,68.19055374592834,78.44134078212291,67.7640712945591,71.77488172810854,3.912023005428146,17.134444444444444
1.0,40.41065872687312,-3.700538010880116,4,1.0,0,3,500.0,49.0,2,189,39.01926,322.0,24,8,8,0.3333333333333333,1.0,0.8520040280841519,3,8,60.703778677462886,59.554729011689695,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,3.912023005428146,16.514444444444443
5.0,40.41172628295956,-3.7126621848665033,4,2.0,2,3,200.0,45.0,1,326,49.4708475,440.0,25,3,4,0.6666666666666667,1.0,0.8520040280841519,3,8,77.30385487528345,67.88117770767613,67.8210655120482,68.19055374592834,67.76751269035533,67.7640712945591,71.77488172810854,5.075173815233827,21.285555555555558
6.0,40.40883353317772,-3.698195983267288,2,1.0,0,2,150.0,30.0,1,60,30.007669,937.0,18,7,11,0.3333333333333333,1.0,0.8520040280841519,2,8,60.703778677462886,59.554729011689695,67.8210655120482,66.70741482965931,67.57546602525557,67.7640712945591,71.77488172810854,3.367295829986474,27.71444444444445
4.0,40.38248155924009,-3.705037851080984,2,1.0,1,1,100.0,15.0,1,365,26.01284,484.0,8,1,1,0.6666666666666667,0.15037580105041076,0.8520040280841519,1,43,48.92105263157895,40.81981981981982,67.8210655120482,68.19055374592834,38.583333333333336,67.7640712945591,71.77488172810854,3.555348061489413,15.155555555555557
2.0,40.38878996583774,-3.701794816445727,2,1.0,1,1,150.0,14.0,1,264,24.990907,354.0,16,6,12,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,43,40.54166666666666,40.81981981981982,67.8210655120482,66.70741482965931,38.583333333333336,67.7640712945591,71.77488172810854,2.6390573296152584,18.526666666666667
10.0,40.4204809251387,-3.702424191357948,3,1.0,1,2,150.0,20.0,1,328,44.965052,1186.0,14,13,13,0.3333333333333333,1.0,0.8520040280841519,1,8,67.77452830188679,67.91066282420749,67.8210655120482,66.70741482965931,74.4219734079776,67.7640712945591,71.77488172810854,4.248495242049359,16.801111111111112
4.0,50.839477549179605,4.400289195842198,1,0.5,1,1,150.0,20.0,1,0,49.4708475,359.0,25,2,2,0.0,0.15037580105041076,0.4090312389650088,1,15,25.0,25.0,25.0,43.55555555555556,103.75,44.46153846153846,50.5625,3.218875824868201,17.134444444444444
1.0,40.43347403153357,-3.6747938484071567,1,1.0,1,1,150.0,20.0,1,90,19.974145,645.0,20,8,14,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,35,65.69158878504673,82.11504424778761,67.8210655120482,68.19055374592834,84.47826086956522,67.7640712945591,71.77488172810854,3.218875824868201,17.84777777777778
40.0,40.44293482356797,-3.715245728313216,4,1.0,2,3,300.0,90.0,1,353,65.0321,244.0,33,4,4,0.3333333333333333,1.0,0.8520040280841519,3,10,73.16666666666667,74.34615384615384,67.8210655120482,68.19055374592834,73.40522875816994,67.7640712945591,71.77488172810854,4.867534450455582,16.046666666666667
1.0,40.40906756002544,-3.6958192205684095,2,1.0,1,1,150.0,20.0,1,176,24.990907,0.0,29,6,7,0.3333333333333333,1.0,0.8520040280841519,2,8,60.703778677462886,59.554729011689695,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,4.0943445622221,5.0344444444444445
1.0,40.44721717368613,-3.664344201784124,1,1.0,1,1,300.0,5.0,1,365,19.974145,93.0,26,8,8,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,9,64.47368421052632,65.15,67.8210655120482,68.19055374592834,64.14925373134328,67.7640712945591,71.77488172810854,3.218875824868201,15.246666666666666
6.0,40.48412222767048,-3.669493359935169,2,1.0,1,4,150.0,20.0,1,365,24.990907,27.0,54,3,3,0.3333333333333333,0.0,0.8520040280841519,1,12,60.56,45.04382470119522,67.8210655120482,68.19055374592834,47.23880597014925,67.7640712945591,71.77488172810854,3.258096538021482,5.131111111111111
10.0,40.41738149610647,-3.700693461890413,4,1.0,0,1,90.0,25.0,1,216,39.01926,218.0,19,2,9,0.3333333333333333,1.0,0.8520040280841519,3,8,85.71021992238033,84.62020460358056,67.8210655120482,68.19055374592834,81.97660098522168,67.7640712945591,71.77488172810854,3.80666248977032,17.333333333333332
2.0,39.57574251904581,2.6441475869361057,1,1.0,1,1,100.0,10.0,1,362,19.974145,359.0,46,2,6,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,38,109.96666666666668,77.40229885057471,91.0,151.02205882352942,52.5,177.36333333333334,71.77488172810854,3.4011973816621555,17.134444444444444
1.0,40.42528496148459,-3.6569614712006335,2,2.0,1,2,150.0,20.0,1,245,24.990907,115.0,20,5,8,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,12,31.06779661016949,45.04382470119522,67.8210655120482,68.19055374592834,38.30337078651685,67.7640712945591,71.77488172810854,3.4011973816621555,18.44222222222222
2.0,40.41313734914967,-3.695632663187349,3,1.0,1,2,150.0,10.0,1,132,44.965052,1293.0,18,4,13,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,8,81.91542288557214,82.59599332220367,67.8210655120482,66.70741482965931,83.67920792079208,67.7640712945591,71.77488172810854,3.555348061489413,32.919999999999995
2.0,40.40186709654945,-3.694100153220592,2,1.0,1,1,150.0,20.0,1,92,24.990907,0.0,26,7,12,0.3333333333333333,1.0,0.8520040280841519,2,0,53.195238095238096,53.21904761904762,67.8210655120482,68.19055374592834,45.323232323232325,67.7640712945591,71.77488172810854,3.7612001156935615,17.77777777777778
3.0,40.42437899407295,-3.710623278854762,1,1.0,1,1,175.0,19.0,1,153,81.011416,83.0,18,10,28,0.0,0.15037580105041076,0.8520040280841519,1,8,67.77452830188679,67.91066282420749,67.8210655120482,68.19055374592834,61.73068893528184,67.7640712945591,71.77488172810854,3.912023005428146,17.02
