accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,availability_365,square_meters,review_activity_duration,amenity_score,summary_content_score,description_content_score,property_type_weighted,room_type_encoded,bed_type_encoded,cancellation_policy_numeric,city_encoded,zipcode_encoded,price_log,review_overall_score,price_per_guest,total_beds
4,2.0,2,3,200.0,45.0,1,326,49.4708475,440.0,25,3,4,0.6666666666666667,1.0,0.8520040280841519,3,67.8210655120482,67.76751269035533,0.7849509214995272,21.285555555555558,1.0150347630467653,6
2,1.0,0,2,150.0,30.0,1,60,30.007669,937.0,18,7,11,0.3333333333333333,1.0,0.8520040280841519,2,67.8210655120482,67.57546602525557,0.3191329770148643,27.71444444444445,1.1224319433288248,0
2,1.0,1,1,100.0,15.0,1,365,26.01284,484.0,8,1,1,0.6666666666666667,0.15037580105041076,0.8520040280841519,1,67.8210655120482,38.583333333333336,0.37042358717034685,15.155555555555557,1.185116020496471,1
2,1.0,1,1,150.0,14.0,1,264,24.990907,354.0,16,6,12,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,67.8210655120482,38.583333333333336,0.12050838891913873,18.526666666666667,0.8796857765384195,1
3,1.0,1,2,150.0,20.0,1,328,44.965052,1186.0,14,13,13,0.3333333333333333,1.0,0.8520040280841519,1,67.8210655120482,74.4219734079776,0.5594771364653282,16.801111111111112,1.0621238105123398,2
1,0.5,1,1,150.0,20.0,1,0,49.4708475,359.0,25,2,2,0.0,0.15037580105041076,0.4090312389650088,1,25.0,103.75,0.2786519225708116,17.134444444444444,1.6094379124341005,1
1,1.0,1,1,150.0,20.0,1,90,19.974145,645.0,20,8,14,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,67.8210655120482,84.47826086956522,0.2786519225708116,17.84777777777778,1.6094379124341005,1
4,1.0,2,3,300.0,90.0,1,353,65.0321,244.0,33,4,4,0.3333333333333333,1.0,0.8520040280841519,3,67.8210655120482,73.40522875816994,0.7283179869862957,16.046666666666667,0.9735068900911165,6
2,1.0,1,1,150.0,20.0,1,176,24.990907,0.0,29,6,7,0.3333333333333333,1.0,0.8520040280841519,2,67.8210655120482,67.57546602525557,0.5174330598753676,5.0344444444444445,1.3647815207407001,1
1,1.0,1,1,300.0,5.0,1,365,19.974145,93.0,26,8,8,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,67.8210655120482,64.14925373134328,0.2786519225708116,15.246666666666666,1.6094379124341005,1
